lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1696,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi / Pergolese,,,,Stabat Mater,,1996,Warner,,rolf,klasyka,classics,CD
1697,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,Trevor Pinnock,The English Concert,Michael Chance,Stabat Mater,,1997,Deutsche Grammophon,,,klasyka,classics,CD
1698,Arcadi Volodos,Volodos Arkadi,various,,,Arcadi Volodos,Piano Transcriptions,1996,1997,SONY,,,klasyka,classics,CD
1699,Richard Wagner,Wagner,Richard Wagner,James Levine,The Metropolitan Opera Orchestra,"Hildegarde Behrens, Jessye Norman, Christa Ludwig",Die Walkure,,1988,Polydor,1,rolf,klasyka,classics,CD
1700,Richard Wagner,Wagner,Richard Wagner,James Levine,The Metropolitan Opera Orchestra,"Hildegarde Behrens, Jessye Norman, Christa Ludwig",Die Walkure,,1988,Polydor,2,rolf,klasyka,classics,CD
1701,Richard Wagner,Wagner,Richard Wagner,James Levine,The Metropolitan Opera Orchestra,"Hildegarde Behrens, Jessye Norman, Christa Ludwig",Die Walkure,,1988,Polydor,3,rolf,klasyka,classics,CD
1702,Richard Wagner,Wagner,Richard Wagner,James Levine,The Metropolitan Opera Orchestra,"Hildegarde Behrens, Jessye Norman, Christa Ludwig",Die Walkure,,1988,Polydor,4,rolf,klasyka,classics,CD
1703,Anton Webern,Webern,Anton Webern,Herbert von Karajan,Berliner Philharmoniker,,Passacaglia for Orchestra op.1 / 5 Satze op.5 / 6 Stucke op.6 / Symphon op.21,,1974,Deutsche Grammophon,,,klasyka,classics,CD
1704,Henryk Wieniawski,Wieniawski,Wieniawski – ,Seiji Ozawa,London Philharmonic,Perlman / Samuel Sanders,różne drobne oraz dwa koncerty,1973-95,1995,EMI,,,klasyka,classics,CD
1705,Wanda Wiłkomirska,Wiłkomirska Wanda,"Moniuszko, Szymanowski, Lutosławski",Witold Rowicki,OSFN,Wanda Wiłkomirska,"The 1st Concert in the Rebuilt Hall: Moniuszko, Szymanowski, Lutosławski",1955,2015,Warner,,,klasyka,classics,CD
1706,Wanda Wiłkomirska,Wiłkomirska Wanda,"Szymanowski, Karłowicz",Witold Rowicki,OSFN,Wanda Wiłkomirska,"Violin Concertos – Szymanowski, Karłowicz",1963.61,1991,Polskie Nagrania,,,klasyka,classics,CD
1707,Yo-Yo Ma,Yo-Yo Ma,various,,,"Yo-Yo Ma, Bobby McFerrin",Hush,,1992,SONY,,,klasyka,classics,CD
1708,,,,,,,,,,,,,,,CD
